시군명	충전소명	소재지지번주소	소재지도로명주소	소재지우편번호	WGS84위도	WGS84경도	운영기관명	충전기타입명
용인시	용인시 용인자연휴양림	경기도 용인시 처인구 모현읍 초부리 산22번지 산21-4 지상1층주차장 지상1층주차장	경기도 용인시 처인구 모현읍 초부로 220	17037	37.3157725302	127.2688891995	지엔텔	AC완속
용인시	용인시 처인구청부설주차장	경기도 용인시 처인구 김량장동 286번지 지상1층주차장	경기도 용인시 처인구 금령로 50	17049	37.2343602006	127.2012931829	지엔텔	DC차데모+AC3상+DC콤보
용인시	EV충전소 SK톨게이트주유소 (ev Most)	경기도 용인시 처인구 유방동 245번지	경기도 용인시 처인구 백옥대로 1410	17041	37.2608996788	127.2131200942	evMost	DC콤보
용인시	이마트 죽전점	경기도 용인시 수지구 죽전동 1282번지 지상주차장 3층 B01구역	경기도 용인시 수지구 포은대로 552	16896	37.3253249176	127.1100038667	환경부(한국자동차환경협회)	DC차데모+AC3상
용인시	명지대학교 자연캠퍼스	경기도 용인시 처인구 남동 555번지	경기도 용인시 처인구 명지로 116	17058	37.2228454497	127.1893001942	제주전기자동차서비스	AC완속
용인시	용인지사	경기도 용인시 처인구 김량장동 87-15번지	경기도 용인시 처인구 금령로78번길 5	17051	37.2346771505	127.2054744671	한국전력	AC완속
용인시	한성컨트리클럽(한성CC)	경기도 용인시 기흥구 마북동 153-1번지 한성컨트리클럽	경기도 용인시 기흥구 구교동로 151	16901	37.3069970331	127.1230982190	케이티	AC완속
용인시	참솔마을 월드메르디앙아파트	경기도 용인시 기흥구 중동 819번지 참솔마을월드메르디앙 1층	경기도 용인시 기흥구 동백죽전대로 283	16995	37.2638327431	127.1537527647	케이티	AC완속
용인시	수지동문굿모닝힐5차아파트	경기도 용인시 수지구 동천동 914번지 동천마을동문굿모닝힐5차아파트 501동~515동		16825	37.3414139412	127.0963506051	케이티	AC완속
용인시	블루원용인지점	경기도 용인시 처인구 원삼면 목신리 356-10번지 ClubHouse	경기도 용인시 처인구 원삼면 보개원삼로1534번길 40	17170	37.1341824910	127.3259391728	케이티	AC완속
용인시	용인일신레져	경기도 용인시 처인구 이동읍 묵리 624번지 신원C.C	경기도 용인시 처인구 이동읍 이원로 225	17133	37.1818122569	127.2413812390	케이티	AC완속
용인시	수지상현금호3단지아파트	경기도 용인시 수지구 상현동 837번지 상현마을 금호베스트빌 3단지 지하주차장 기계실 옆(837 상현마을 금호베스트빌 3단지)	경기도 용인시 수지구 상현로42번길 40	16939	37.3032163511	127.0817052872	케이티	AC완속
용인시	현대성우5차아파트	경기도 용인시 수지구 상현동 843번지 상현마을성우5차아파트 101동~104동		16937	37.3089675553	127.0843591922	케이티	AC완속
용인시	힐스테이트서천5단지	경기도 용인시 기흥구 서천동 801번지 힐스테이트서천		17108	37.2376689166	127.0746832225	케이티	AC완속
용인시	오토허브서비스	경기도 용인시 기흥구 영덕동 1266번지	경기도 용인시 기흥구 중부대로 242-2	17095	37.2675652225	127.0917374621	제주전기자동차서비스	AC완속
용인시	이동읍화산C.C	경기도 용인시 처인구 이동읍 화산리 129-64번지 화산C.C	경기도 용인시 처인구 이동읍 화산로 239	17135	37.1540904875	127.2318018762	케이티	AC완속
용인시	기흥 삼정아파트입주자대표회의	경기도 용인시 기흥구 보라동 289-12번지 101동 지하출입구 외벽, 102동 지하출입구 두번째기둥뒤, 103동 지하출입구 6번기둥옆	경기도 용인시 기흥구 사은로 64	17079	37.2544204781	127.1124896666	이카플러그	AC완속
용인시	용인 신촌마을포스홈타운2단지	경기도 용인시 기흥구 보정동 1298번지 신촌마을포스홈타운2단지 305동앞 1층주차장	경기도 용인시 기흥구 신촌로47번길 11	16904	37.3091236957	127.1090155115	이카플러그	AC완속
용인시	한국 대중불교불이종 동도사	경기도 용인시 처인구 이동읍 어비리 807-9번지 사찰입구주차장	경기도 용인시 처인구 이동읍 어진로 842	17123	37.1077852629	127.1983470161	이카플러그	AC완속
용인시	보리원	경기도 용인시 처인구 해곡동 150-3번지 입구 전용주차장	경기도 용인시 처인구 동부로 848-15	17142	37.1885042831	127.2787417448	이카플러그	AC완속
용인시	죽전 효성해링턴플레이스	경기도 용인시 수지구 죽전동 887번지 죽전 효성해링턴 플레이스 지하4층 주차장	경기도 용인시 수지구 용구대로 2750	16868	37.3312452933	127.1094765901	이카플러그	AC완속
용인시	구갈동주민센터	경기도 용인시 기흥구 구갈동 578번지 구갈동주민센터	경기도 용인시 기흥구 강남로 23	16977	37.2724067514	127.1275906845	에버온	AC완속
